Climb name,Grade,Style,Partner(s),Notes,Date,Crag name
The Third Eye,7c  ***,Lead RP,"Martin McKenna - UKC, Harry, John McKenna","Good climbing with a crux section mid height, bolt placement could be improved, 2nd go",28-Sep-19,Creag a' Bhancair
West Flank Route,E1 5b ***,AltLd O/S,"Appleby, calumhicks","good route, lead the middle pitch but got a bit lost, not sure i did it correctly",15-Jul-19,Cir Mhor
South Ridge Direct,VS 5a ***,AltLd O/S,"Appleby, calumhicks","amazing route! Have done a few mountain routes recently and this is by far the best.  good positions and climbing throughout.  In 2 pitches, i took us above the Y crack then Appleby took us to the top",15-Jul-19,Cir Mhor
The Rosetta Stone,VS 5a **,Solo O/S,"calumhicks, Appleby","abseiled off, was not feeling the downclimb ",15-Jul-19,Cir Mhor
Persistence of Vision,7a+  ***,Lead RP,,Finally got on this again after years. Glad to do it first attempt. Would happily do again,12-Jul-19,Dumbarton Rock
Yo Yo,E1 5b ***,AltLd O/S,"calumhicks, Appleby","I'll be kind and not repeat my feelings I had after the ascent. Not my favourite... Perhaps if it was dry, but I won't be going back.
",07-Jul-19,Aonach Dubh
Shibboleth,E2 5c ***,AltLd O/S,calumhicks,"Great route, glad I didn&rsquo;t have to lead &lsquo;the slime&rsquo;. Fun climbing on solid rock.
Not gonna lie, bit disappointed... 3/4* but not what it&rsquo;s amped up to be",28-Jun-19,Buachaille Etive Mor
Bludgers Revelation,HVS 5a ***,AltLd O/S,calumhicks,"Night ascent, topped out the buachaille at midnight and still light!
Good route but it&rsquo;s all really about the flake pitch",27-Jun-19,Buachaille Etive Mor
Sufferance,8a  ***,Lead RP,"Martin McKenna - UKC, John McKenna, Ian Small","Very chuffed to get this, first 8a (as with many people).
Second day on the route and got it second rp today, conditions were shit earlier but got colder towards the end of the day.",06-Jun-19,Dumbarton Rock
Appliance of Violence,7b+  *,Lead rpt,"John McKenna, Kevin Woods","Good to do again after a few years.  Should have got this 2nd go but kept bloody falling at the chains, so dam confusing up there.",24-May-19,Dumbarton Rock
Ticallion Stallion,E3 5c ***,Lead O/S,Simon Smith,"Good climbing and well protected, after initial bold start.  Wet",18-May-19,Creag Liam
Mussel Meltdown,E3 5c **,2nd &beta;,Simon Smith,hard start but eases off.,18-May-19,Creag Liam
Barnacle Butter,E4 5c **,2nd &beta;,Simon Smith,"Initially led up to the last 3m but lowered off as all gear had been questionable, whole route was wet and was concerned about rock above.  First route i\'ve ever backed off.",18-May-19,Creag Liam
Limpet Crack,E3 5c ***,2nd &beta;,"DavidMcK, calumhicks",,17-May-19,Dalbeg Sea Cliffs - Lewis
Tweetie Pie Slalom,E5 6a ***,Lead O/S,"DavidMcK, calumhicks","very happy to get this! tricky start followed by pumpy climbing, solid gear.  Around a sport 7a+ i\'d say",17-May-19,Dalbeg Sea Cliffs - Lewis
Neptune,E3 5c ***,Lead O/S,"DavidMcK, calumhicks","Wouldn\'t say this is 4*, a good 2* in my books.  Still great climb, just doesn\'t follow an obvious line.",17-May-19,Dalbeg Sea Cliffs - Lewis
Snake Dyke,E2 5c ***,2nd &beta;,"DavidMcK, calumhicks",,16-May-19,Aird Mhor Bhragair
Foirfeachd,E3 5c ***,Lead O/S,"DavidMcK, calumhicks","Dam this was a fight!  A solid E4 if you\'re asking me, very sustained but with decent gear.",16-May-19,Aird Mhor Bhragair
The Prozac Link,E4 5c ***,AltLd O/S,Kev,"What a day! Busy on the route so was waiting around a bit but still incredibly enjoyable.  Led pitches 1 + 3.
Such an atmospheric route with the waves crashing below ",15-May-19,"Uig Sea Cliffs Central, Mangersta"
Gravity Man,E2 5b **,2nd &beta;,"DavidMcK, calumhicks",great route!,14-May-19,"Uig Sea Cliffs Central, Mangersta"
The Painted Wall,E4 5c ***,Lead O/S,"DavidMcK, calumhicks",very enjoyable across beautiful rock.  Little bold but it\'s all there. ,14-May-19,"Uig Sea Cliffs Central, Mangersta"
The Dreaded Dram,E4 5c ***,Lead O/S,"DavidMcK, calumhicks",would be a great route if it wasn\'t broken by a shelf.  really fun onsight as it seems it hadn\'t been climbed in a while,14-May-19,"Uig Sea Cliffs Central, Mangersta"
Newton's Law,E1 5b ***,2nd &beta;,"DavidMcK, calumhicks",,14-May-19,"Uig Sea Cliffs Central, Mangersta"
Things are Looking Up,E3 5c **,Lead O/S,"DavidMcK, calumhicks",enjoyable climbing with good gear on questionable rock,14-May-19,"Uig Sea Cliffs Central, Mangersta"
Chicken Run,E1 5c ***,2nd &beta;,"DavidMcK, calumhicks",,14-May-19,"Uig Sea Cliffs Central, Mangersta"
Hughy's Cocktail Mixture,E3 5c **,2nd &beta;,mim tiller,"Even on second this was still one of my favourite routes of the trip, amazing exposure and great climbing",13-May-19,"Uig Sea Cliffs Central, Mangersta"
It's Raining Rocks!,E3 6a *,Lead O/S,mim tiller,"short but fun, well protected but hard pulling",13-May-19,"Uig Sea Cliffs Central, Mangersta"
Killer Fingers,E5 6a *,2nd &beta;,mim tiller,ace climb! great technical bold traverse section followed by great jug pulling to the top.,13-May-19,"Uig Sea Cliffs Central, Mangersta"
Suffering Bastard,E4 6a ***,Lead O/S,mim tiller,"Very happy to get this, first E4 of the year.  Favourite climb of the trip",13-May-19,"Uig Sea Cliffs Central, Mangersta"
I'll Try Up Here Again,E1 5b *,Lead O/S,mim tiller,ok route.  Went the wrong way the first time and had to come down to do it again,13-May-19,"Uig Sea Cliffs Central, Mangersta"
The Underworld,E3 5c *,2nd &beta;,mim tiller,,12-May-19,Shawbost
Vanaheim,E3 5b **,Lead O/S,mim tiller,,12-May-19,Shawbost
Valhalla,E2 5b ***,2nd &beta;,mim tiller,,12-May-19,Shawbost
Thor Tips,E3 5c **,Lead O/S,mim tiller,,12-May-19,Shawbost
Styx and Stones,E2 5c ***,Lead O/S,mim tiller,,12-May-19,Shawbost
Fist Fighter,E1 5b **,2nd &beta;,mim tiller,,12-May-19,Shawbost
Shawbost Pillar,E1 5b ***,Lead O/S,mim tiller,,12-May-19,Shawbost
The Lewisian,E3 5c ***,Lead O/S,mim tiller,such an ace route in an amazing position.  Due to sea we started at the halfway ledge.,12-May-19,Shawbost
Episiotomy,E3 5c ***,2nd &beta;,mim tiller,Unreal climbing on jugs through steep terrain! Started at halfway ledge due to sea,12-May-19,Shawbost
The Swan,E1 5b ***,2nd &beta;,"DavidMcK, calumhicks","Great route, you just need to avoid the poop",11-May-19,"Uig Sea Cliffs North-East, Valtos"
Troutdale Pinnacle Superdirect,HVS 5a ***,AltLd O/S,"John McKenna, DavidMcK, calumhicks",,06-May-19,Black Crag (Borrowdale)
Troutdale Pinnacle,S  ***,Solo O/S,"John McKenna, DavidMcK, calumhicks",,06-May-19,Black Crag (Borrowdale)
Little Chamonix,VD  ***,Solo rpt,"calumhicks, John McKenna, DavidMcK",Great end to the long weekend,06-May-19,Shepherd’s Crag
Shifter,E3 6a ***,Lead O/S,"John McKenna, DavidMcK",,05-May-19,Burnt Crag
SPC,E3 5c *,Lead Flash,"John McKenna, DavidMcK",,05-May-19,Burnt Crag
White Noise,E3 5c ***,Lead O/S,"John McKenna, DavidMcK, calumhicks",,04-May-19,Reecastle Crag
Rack Direct,E2 5b **,Lead O/S,"John McKenna, DavidMcK, calumhicks",,04-May-19,Reecastle Crag
The Finger Flake Finish,E2 5c ***,Lead O/S,"John McKenna, DavidMcK, calumhicks",,04-May-19,Reecastle Crag
